"wait_type","waiting_tasks_count","wait_time_ms","max_wait_time_ms","signal_wait_time_ms"
"WRITELOG","1116","5540","2346","730"
"LCK_M_S","29","4831","272","12"
"PREEMPTIVE_XE_GETTARGETSTATE","1253","4633","120","0"
"CMEMTHREAD","1821","4205","423","845"
"PWAIT_ALL_COMPONENTS_INITIALIZED","3","2869","965","0"
"PREEMPTIVE_OS_FILEOPS","604","2283","14","0"
"XE_BUFFERMGR_ALLPROCESSED_EVENT","207","1457","58","4"
"PAGEIOLATCH_EX","347","1144","495","419"
"IO_COMPLETION","325","916","27","4"
"SLEEP_BPOOL_STEAL","55","867","26","77"
"ASYNC_NETWORK_IO","549","730","24","12"
"SLEEP_BUFFERPOOL_HELPLW","265","647","17","646"
"SLEEP_DBSTARTUP","7","630","113","0"
"PREEMPTIVE_OS_WRITEFILE","24","555","63","0"
"CHKPT","1","462","462","0"
"SLEEP_SYSTEMTASK","1","462","462","0"
"PREEMPTIVE_OS_AUTHENTICATIONOPS","692","389","63","0"
"PREEMPTIVE_OS_CRYPTOPS","11","330","316","0"
"ASYNC_IO_COMPLETION","2","295","184","0"
"SLEEP_DCOMSTARTUP","1","246","246","0"
"WAIT_ON_SYNC_STATISTICS_REFRESH","142","201","21","0"
"PREEMPTIVE_OS_WRITEFILEGATHER","22","189","21","0"
"PREEMPTIVE_OS_REPORTEVENT","99","178","110","0"
"MSQL_XP","44","172","86","0"
"SLEEP_PHYSMASTERDBREADY","1","170","170","0"
"WAIT_XTP_HOST_WAIT","3","167","84","0"
"PREEMPTIVE_OS_LOADLIBRARY","3","139","124","0"
"STARTUP_DEPENDENCY_MANAGER","2","137","101","0"
"PREEMPTIVE_XE_SESSIONCOMMIT","75","123","35","0"
"PREEMPTIVE_OS_GENERICOPS","209","119","60","0"
"PREEMPTIVE_OS_VERIFYTRUST","4","117","54","0"
"SLEEP_MASTERDBREADY","1","115","115","0"
"PAGELATCH_SH","203","111","55","4"
"PREEMPTIVE_OS_CLOSEHANDLE","432","103","12","0"
"RESOURCE_SEMAPHORE_QUERY_COMPILE","1","101","101","0"
"PREEMPTIVE_OS_CREATEFILE","157","73","7","0"
"PREEMPTIVE_OS_DELETESECURITYCONTEXT","112","53","6","0"
"WRITE_COMPLETION","125","53","13","0"
"PREEMPTIVE_OS_LOOKUPACCOUNTSID","94","47","3","0"
"LCK_M_SCH_M","64","46","19","18"
"RESERVED_MEMORY_ALLOCATION_EXT","10468","40","33","0"
"SLEEP_MASTERUPGRADED","2","21","11","0"
"PAGEIOLATCH_UP","46","18","3","3"
"PREEMPTIVE_OS_GETFILEATTRIBUTES","134","18","0","0"
"PAGELATCH_EX","170","17","1","5"
"PREEMPTIVE_XE_TARGETFINALIZE","26","16","4","0"
"BROKER_EVENTHANDLER","13","13","5","3"
"SECURITY_MUTEX","14","13","1","1"
"PREEMPTIVE_XE_TARGETINIT","30","11","3","0"
"PREEMPTIVE_OS_CRYPTACQUIRECONTEXT","25","11","6","0"
"SECURITY_CNG_PROVIDER_MUTEX","14","11","1","0"
"PERFORMANCE_COUNTERS_RWLOCK","40","8","2","3"
"PREEMPTIVE_OS_AUTHORIZATIONOPS","239","7","2","0"
"PARALLEL_REDO_WORKER_SYNC","15","7","2","1"
"LATCH_EX","20","7","1","1"
"PREEMPTIVE_FILESIZEGET","97","3","0","0"
"LATCH_SH","8","2","0","0"
"DAC_INIT","1","1","1","0"
"BROKER_MASTERSTART","1","1","1","0"
"PREEMPTIVE_OS_DOMAINSERVICESOPS","1","1","1","0"
"PREEMPTIVE_OS_REVERTTOSELF","115","1","0","0"
"PREEMPTIVE_OS_QUERYCONTEXTATTRIBUTES","115","1","0","0"
"PREEMPTIVE_OS_SQLCLROPS","1","1","1","0"
"HADR_CLUSAPI_CALL","22","1","1","0"
"PREEMPTIVE_SERVICE_CONTROL_MANGER","5","1","0","0"
"PURVIEW_POLICY_SDK_PREEMPTIVE_SCHEDULING","1","0","0","0"
"XTP_PREEMPTIVE_TASK","1","0","0","0"
"QDS_ASYNC_QUEUE","1","0","0","0"
"RECOVERY_MGR_LOCK","1","0","0","0"
"PVS_PREALLOCATE","1","0","0","0"
"POPULATE_LOCK_ORDINALS","1","0","0","0"
"PREEMPTIVE_SNI_SOCKET_BIND","6","0","0","0"
"PREEMPTIVE_SNI_SOCKET_LISTEN","6","0","0","0"
"PREEMPTIVE_SP_SERVER_DIAGNOSTICS","1","0","0","0"
"QDS_ASYNC_PERSIST_TASK_START","1","0","0","0"
"QDS_TASK_START","1","0","0","0"
"HADR_NOTIFICATION_DEQUEUE","1","0","0","0"
"PREEMPTIVE_SB_STOPENDPOINT","1","0","0","0"
"PREEMPTIVE_LOCKMONITOR","1","0","0","0"
"PREEMPTIVE_OS_FINDFILE","2","0","0","0"
"PREEMPTIVE_OS_LIBRARYOPS","1","0","0","0"
"PREEMPTIVE_OS_GETPROCADDRESS","44","0","0","0"
"SNI_CRITICAL_SECTION","1","0","0","0"
"LOGBUFFER","2","0","0","0"
"CLR_MANUAL_EVENT","1","0","0","0"
"SNI_TASK_COMPLETION","1","0","0","0"
"SLEEP_BPOOL_FLUSH","2","0","0","0"
"BROKER_TRANSMITTER","2","0","0","0"
"KSOURCE_WAKEUP","1","0","0","0"
"LATCH_UP","1","0","0","0"
"SOS_SYNC_TASK_ENQUEUE_EVENT","2","0","0","0"
"SOS_DISPATCHER_MUTEX","9","0","0","0"
"PREEMPTIVE_XE_TIMERRUN","1","0","0","0"
